,Customer,Age,City,Product,Limit,Company,Segment,Spend_Date,Spend_Type,Spend_Amount,Spend_Month,Spend_Year,Spend Amount to Limit Ratio,Product_Level,Segment_Govt,Segment_Normal Salary,Segment_Salaried_MNC,Segment_Salaried_Pvt,Segment_Self Employed,Spend_Type_AIR TICKET,Spend_Type_AUTO,Spend_Type_BIKE,Spend_Type_BUS TICKET,Spend_Type_CAMERA,Spend_Type_CAR,Spend_Type_CLOTHES,Spend_Type_FOOD,Spend_Type_JEWELLERY,Spend_Type_MOVIE TICKET,Spend_Type_PETRO,Spend_Type_RENTAL,Spend_Type_SANDALS,Spend_Type_SHOPPING,Spend_Type_TRAIN TICKET
24,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,03-Nov-06,MOVIE TICKET,75728.35,11,2006,0.7572835000000001,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
25,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,04-Feb-06,FOOD,175345.84,2,2006,1.7534584,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
26,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,03-Apr-06,RENTAL,367364.53,4,2006,3.6736453000000004,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
27,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,12-Jan-04,RENTAL,366519.94,1,2004,3.6651994,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
28,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,03-Feb-05,CLOTHES,197585.76,2,2005,1.9758576,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
29,A2,71,CALCUTTA,Silver,100000.0,C2,Salaried_MNC,06-May-06,TRAIN TICKET,369689.78,5,2006,3.6968978000000003,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
30,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,15-Jan-04,MOVIE TICKET,418202.62,1,2004,41.820262,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
31,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,16-Feb-05,TRAIN TICKET,194358.94,2,2005,19.435894,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
32,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,27-Apr-05,TRAIN TICKET,94389.66,4,2005,9.438966,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
33,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,24-May-05,PETRO,183707.24,5,2005,18.370724,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
34,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,03-Oct-05,PETRO,445534.57,10,2005,44.553457,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
35,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,03-Dec-06,JEWELLERY,491710.5,12,2006,49.17105,3,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
36,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,25-Mar-06,FOOD,418516.31,3,2006,41.851631,3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
37,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,04-Apr-06,MOVIE TICKET,16375.23,4,2006,1.637523,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
38,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,03-Jan-04,MOVIE TICKET,368574.41,1,2004,36.857440999999994,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
39,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,04-Feb-06,CLOTHES,384693.67,2,2006,38.469367,3,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
40,A3,34,COCHIN,Platimum,10000.0,C3,Salaried_Pvt,07-May-05,RENTAL,285184.71,5,2005,28.518471,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
41,A4,47,BOMBAY,Platimum,10001.0,C4,Govt,25-Jan-04,JEWELLERY,273400.75,1,2004,27.337341265873413,3,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
42,A4,47,BOMBAY,Platimum,10001.0,C4,Govt,23-Feb-05,TRAIN TICKET,184352.72,2,2005,18.433428657134286,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
43,A4,47,BOMBAY,Platimum,10001.0,C4,Govt,05-May-04,RENTAL,104771.98,5,2004,10.476150384961503,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
44,A4,47,BOMBAY,Platimum,10001.0,C4,Govt,25-May-05,PETRO,31107.95,5,2005,3.1104839516048397,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
45,A4,47,BOMBAY,Platimum,10001.0,C4,Govt,03-Nov-05,CLOTHES,23040.07,11,2005,2.3037766223377663,3,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
46,A4,47,BOMBAY,Platimum,10001.0,C4,Govt,12-Jan-04,PETRO,35293.85,1,2004,3.529032096790321,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
47,A4,47,BOMBAY,Platimum,10001.0,C4,Govt,31-Mar-06,FOOD,466690.74,3,2006,46.664407559244076,3,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48,A4,47,BOMBAY,Platimum,10001.0,C4,Govt,12-Jan-04,JEWELLERY,130804.05,1,2004,13.079097090290972,3,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
49,A4,47,BOMBAY,Platimum,10001.0,C4,Govt,15-Jan-04,JEWELLERY,43757.56,1,2004,4.375318468153185,3,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50,A4,47,BOMBAY,Platimum,10001.0,C4,Govt,25-Mar-06,CLOTHES,181142.29,3,2006,18.11241775822418,3,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
51,A4,47,BOMBAY,Platimum,10001.0,C4,Govt,08-May-06,MOVIE TICKET,497348.05,5,2006,49.72983201679832,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
52,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,12-Jan-04,PETRO,272700.86,1,2004,27.264633073385323,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
53,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,03-Feb-05,TRAIN TICKET,125817.82,2,2005,12.579266146770646,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
54,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,06-May-06,MOVIE TICKET,413858.41,5,2006,41.37756548690262,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
55,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,26-May-05,PETRO,384309.63,5,2005,38.42327834433114,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
56,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,03-Dec-05,FOOD,230668.23,12,2005,23.062210557888424,3,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
57,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,03-Jan-04,CLOTHES,143057.63,1,2004,14.302902419516098,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
58,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,23-Mar-06,FOOD,244557.11,3,2006,24.450820835832833,3,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
59,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,03-Jan-04,PETRO,399316.12,1,2004,39.92362727454509,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
60,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,12-Jan-04,PETRO,122573.12,1,2004,12.25486102779444,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
61,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,31-Mar-06,CLOTHES,42224.84,3,2006,4.221639672065587,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
62,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,09-May-05,JEWELLERY,161445.71,5,2005,16.141342731453708,3,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
63,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,25-May-05,PETRO,283338.48,5,2005,28.328182363527294,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
64,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,03-Mar-06,AIR TICKET,10763.44,3,2006,1.076128774245151,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,28-Feb-05,CLOTHES,359966.31,2,2005,35.98943311337732,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
66,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,03-Apr-06,CAR,165218.48,4,2006,16.518544291141772,3,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
67,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,03-Jan-04,FOOD,326052.18,1,2004,32.59869826034793,3,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
68,A5,56,BANGALORE,Platimum,10002.0,C5,Normal Salary,30-Apr-06,RENTAL,42483.81,4,2006,4.24753149370126,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
69,A6,70,DELHI,Silver,100000.0,C6,Self Employed,03-Jan-04,CLOTHES,195373.41,1,2004,1.9537341000000001,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
70,A6,70,DELHI,Silver,100000.0,C6,Self Employed,04-Feb-06,TRAIN TICKET,74569.98,2,2006,0.7456997999999999,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
71,A6,70,DELHI,Silver,100000.0,C6,Self Employed,07-May-05,JEWELLERY,130023.62,5,2005,1.3002362,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
72,A6,70,DELHI,Silver,100000.0,C6,Self Employed,27-May-05,MOVIE TICKET,89467.92,5,2005,0.8946792,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
73,A6,70,DELHI,Silver,100000.0,C6,Self Employed,03-Jan-06,CAMERA,235787.09,1,2006,2.3578709,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
74,A6,70,DELHI,Silver,100000.0,C6,Self Employed,15-Jan-04,FOOD,102914.5,1,2004,1.029145,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
75,A6,70,DELHI,Silver,100000.0,C6,Self Employed,24-Mar-06,FOOD,149094.95,3,2006,1.4909495000000001,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
76,A6,70,DELHI,Silver,100000.0,C6,Self Employed,15-Jan-04,CLOTHES,488508.91,1,2004,4.8850891,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
77,A6,70,DELHI,Silver,100000.0,C6,Self Employed,03-Jan-04,CLOTHES,18162.3,1,2004,0.18162299999999998,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
78,A6,70,DELHI,Silver,100000.0,C6,Self Employed,23-Mar-06,CLOTHES,429780.86,3,2006,4.2978086,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
79,A6,70,DELHI,Silver,100000.0,C6,Self Employed,10-May-06,PETRO,319011.87,5,2006,3.1901186999999998,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
80,A6,70,DELHI,Silver,100000.0,C6,Self Employed,26-May-05,PETRO,253033.48,5,2005,2.5303348,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
81,A6,70,DELHI,Silver,100000.0,C6,Self Employed,03-Apr-06,AIR TICKET,357943.87,4,2006,3.5794387,1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,A6,70,DELHI,Silver,100000.0,C6,Self Employed,16-Feb-05,FOOD,433956.78,2,2005,4.3395678,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
83,A6,70,DELHI,Silver,100000.0,C6,Self Employed,04-Apr-06,BIKE,498734.85,4,2006,4.9873484999999995,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
84,A6,70,DELHI,Silver,100000.0,C6,Self Employed,15-Jan-04,BUS TICKET,352326.62,1,2004,3.5232662,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
85,A6,70,DELHI,Silver,100000.0,C6,Self Employed,25-Apr-04,MOVIE TICKET,100962.14,4,2004,1.0096214,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
86,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,15-Jan-04,FOOD,210870.21,1,2004,2.108681013189868,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
87,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,25-Mar-06,TRAIN TICKET,123765.33,3,2006,1.2376409235907642,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
88,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,08-May-06,PETRO,238772.07,5,2006,2.38769682303177,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
89,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,28-May-05,CAMERA,22964.17,5,2005,0.2296394036059639,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
90,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,03-Feb-06,SANDALS,202045.12,2,2006,2.020430995690043,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
91,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,25-Jan-04,FOOD,131957.64,1,2004,1.3195632043679564,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
92,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,25-Mar-06,FOOD,30727.68,3,2006,0.3072737272627274,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
93,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,25-Jan-04,FOOD,365615.44,1,2004,3.656117838821612,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
94,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,15-Jan-04,CLOTHES,455534.79,1,2004,4.55530234697653,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
95,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,19-Mar-04,CLOTHES,149173.49,3,2004,1.491719982800172,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
96,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,11-Jul-06,PETRO,212275.8,7,2006,2.1227367726322734,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
97,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,27-May-05,PETRO,108439.47,5,2005,1.0843838561614383,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
98,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,03-May-06,AIR TICKET,305050.62,5,2006,3.0504756952430476,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,23-Feb-05,CAMERA,314704.54,2,2005,3.147013929860701,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
100,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,12-Jan-04,AUTO,498358.28,1,2004,4.983532964670354,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
101,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,25-Jan-04,TRAIN TICKET,461282.47,1,2004,4.612778572214277,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
102,A7,26,COCHIN,Silver,100001.0,C7,Salaried_MNC,19-Apr-06,JEWELLERY,165956.43,4,2006,1.6595477045229547,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
103,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,05-Feb-04,BIKE,155562.58,2,2004,1.5555946881062377,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
104,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,12-Jan-04,CAMERA,470561.03,1,2004,4.7055161896762066,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
105,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,31-Mar-06,TRAIN TICKET,113366.26,3,2006,1.133639927201456,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
106,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,09-May-05,PETRO,371894.08,5,2005,3.718866422671547,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
107,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,29-May-05,CAMERA,335298.81,5,2005,3.3529210415791684,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
108,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,03-Mar-06,CAR,248077.43,3,2006,2.48072468550629,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
109,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,17-Jan-05,FOOD,27596.71,1,2005,0.2759615807683846,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
110,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,26-Mar-06,FOOD,270994.47,3,2006,2.709890502189956,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
111,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,12-Jan-04,CAMERA,219438.79,1,2004,2.194344013119738,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
112,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,25-Jan-04,CLOTHES,197893.32,1,2004,1.9788936221275575,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
113,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,05-Mar-06,CLOTHES,159812.18,3,2006,1.5980898382032358,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
114,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,12-Aug-05,PETRO,37708.16,8,2005,0.37707405851882964,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
115,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,28-May-05,PETRO,274522.32,5,2005,2.7451682966340676,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
116,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,03-Jun-06,AIR TICKET,173354.23,6,2006,1.7335076298474033,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,03-Feb-05,CAMERA,259015.91,2,2005,2.590107297854043,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
118,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,03-Jan-04,SHOPPING,185686.01,1,2004,1.8568229635407292,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
119,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,17-Jan-05,RENTAL,405002.42,1,2005,4.049943201135977,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
120,A8,67,PATNA,Silver,100002.0,C8,Salaried_Pvt,06-Apr-04,PETRO,35196.11,4,2004,0.3519540609187816,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
121,A9,79,CHENNAI,Silver,100003.0,C9,Govt,28-Feb-05,AUTO,38269.94,2,2005,0.38268791936241914,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
122,A9,79,CHENNAI,Silver,100003.0,C9,Govt,03-Jan-04,CAMERA,143855.64,1,2004,1.438513244602662,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
123,A9,79,CHENNAI,Silver,100003.0,C9,Govt,23-Mar-06,CAMERA,206959.61,3,2006,2.0695340139795806,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
124,A9,79,CHENNAI,Silver,100003.0,C9,Govt,10-May-06,PETRO,108752.51,5,2006,1.087492475225743,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
