,DateTime,Junction,Vehicles,ID,date,time,hour,day,month,year,dayofweek
174,08-01-2016 6.00,1,12,20160108061,08-01-2016,6.00.00,6,8,1,2016,4
175,08-01-2016 7.00,1,15,20160108071,08-01-2016,7.00.00,7,8,1,2016,4
176,08-01-2016 8.00,1,14,20160108081,08-01-2016,8.00.00,8,8,1,2016,4
177,08-01-2016 9.00,1,38,20160108091,08-01-2016,9.00.00,9,8,1,2016,4
178,08-01-2016 10.00,1,47,20160108101,08-01-2016,10.00.00,10,8,1,2016,4
179,08-01-2016 11.00,1,45,20160108111,08-01-2016,11.00.00,11,8,1,2016,4
180,08-01-2016 12.00,1,42,20160108121,08-01-2016,12.00.00,12,8,1,2016,4
181,08-01-2016 13.00,1,34,20160108131,08-01-2016,13.00.00,13,8,1,2016,4
182,08-01-2016 14.00,1,37,20160108141,08-01-2016,14.00.00,14,8,1,2016,4
183,08-01-2016 15.00,1,35,20160108151,08-01-2016,15.00.00,15,8,1,2016,4
184,08-01-2016 16.00,1,33,20160108161,08-01-2016,16.00.00,16,8,1,2016,4
185,08-01-2016 17.00,1,32,20160108171,08-01-2016,17.00.00,17,8,1,2016,4
186,08-01-2016 18.00,1,27,20160108181,08-01-2016,18.00.00,18,8,1,2016,4
187,08-01-2016 19.00,1,29,20160108191,08-01-2016,19.00.00,19,8,1,2016,4
188,08-01-2016 20.00,1,30,20160108201,08-01-2016,20.00.00,20,8,1,2016,4
189,08-01-2016 21.00,1,29,20160108211,08-01-2016,21.00.00,21,8,1,2016,4
190,08-01-2016 22.00,1,30,20160108221,08-01-2016,22.00.00,22,8,1,2016,4
191,08-01-2016 23.00,1,30,20160108231,08-01-2016,23.00.00,23,8,1,2016,4
192,09-01-2016 0.00,1,22,20160109001,09-01-2016,0.00.00,0,9,1,2016,5
193,09-01-2016 1.00,1,19,20160109011,09-01-2016,1.00.00,1,9,1,2016,5
194,09-01-2016 2.00,1,17,20160109021,09-01-2016,2.00.00,2,9,1,2016,5
195,09-01-2016 3.00,1,18,20160109031,09-01-2016,3.00.00,3,9,1,2016,5
196,09-01-2016 4.00,1,13,20160109041,09-01-2016,4.00.00,4,9,1,2016,5
197,09-01-2016 5.00,1,10,20160109051,09-01-2016,5.00.00,5,9,1,2016,5
198,09-01-2016 6.00,1,11,20160109061,09-01-2016,6.00.00,6,9,1,2016,5
199,09-01-2016 7.00,1,12,20160109071,09-01-2016,7.00.00,7,9,1,2016,5
200,09-01-2016 8.00,1,14,20160109081,09-01-2016,8.00.00,8,9,1,2016,5
201,09-01-2016 9.00,1,16,20160109091,09-01-2016,9.00.00,9,9,1,2016,5
202,09-01-2016 10.00,1,25,20160109101,09-01-2016,10.00.00,10,9,1,2016,5
203,09-01-2016 11.00,1,20,20160109111,09-01-2016,11.00.00,11,9,1,2016,5
204,09-01-2016 12.00,1,20,20160109121,09-01-2016,12.00.00,12,9,1,2016,5
205,09-01-2016 13.00,1,21,20160109131,09-01-2016,13.00.00,13,9,1,2016,5
206,09-01-2016 14.00,1,17,20160109141,09-01-2016,14.00.00,14,9,1,2016,5
207,09-01-2016 15.00,1,22,20160109151,09-01-2016,15.00.00,15,9,1,2016,5
208,09-01-2016 16.00,1,18,20160109161,09-01-2016,16.00.00,16,9,1,2016,5
209,09-01-2016 17.00,1,19,20160109171,09-01-2016,17.00.00,17,9,1,2016,5
210,09-01-2016 18.00,1,18,20160109181,09-01-2016,18.00.00,18,9,1,2016,5
211,09-01-2016 19.00,1,23,20160109191,09-01-2016,19.00.00,19,9,1,2016,5
212,09-01-2016 20.00,1,18,20160109201,09-01-2016,20.00.00,20,9,1,2016,5
213,09-01-2016 21.00,1,21,20160109211,09-01-2016,21.00.00,21,9,1,2016,5
214,09-01-2016 22.00,1,22,20160109221,09-01-2016,22.00.00,22,9,1,2016,5
215,09-01-2016 23.00,1,19,20160109231,09-01-2016,23.00.00,23,9,1,2016,5
216,10-01-2016 0.00,1,19,20160110001,10-01-2016,0.00.00,0,10,1,2016,6
217,10-01-2016 1.00,1,18,20160110011,10-01-2016,1.00.00,1,10,1,2016,6
218,10-01-2016 2.00,1,16,20160110021,10-01-2016,2.00.00,2,10,1,2016,6
219,10-01-2016 3.00,1,9,20160110031,10-01-2016,3.00.00,3,10,1,2016,6
220,10-01-2016 4.00,1,10,20160110041,10-01-2016,4.00.00,4,10,1,2016,6
221,10-01-2016 5.00,1,10,20160110051,10-01-2016,5.00.00,5,10,1,2016,6
222,10-01-2016 6.00,1,12,20160110061,10-01-2016,6.00.00,6,10,1,2016,6
223,10-01-2016 7.00,1,13,20160110071,10-01-2016,7.00.00,7,10,1,2016,6
224,10-01-2016 8.00,1,11,20160110081,10-01-2016,8.00.00,8,10,1,2016,6
225,10-01-2016 9.00,1,16,20160110091,10-01-2016,9.00.00,9,10,1,2016,6
226,10-01-2016 10.00,1,16,20160110101,10-01-2016,10.00.00,10,10,1,2016,6
227,10-01-2016 11.00,1,21,20160110111,10-01-2016,11.00.00,11,10,1,2016,6
228,10-01-2016 12.00,1,18,20160110121,10-01-2016,12.00.00,12,10,1,2016,6
229,10-01-2016 13.00,1,19,20160110131,10-01-2016,13.00.00,13,10,1,2016,6
230,10-01-2016 14.00,1,18,20160110141,10-01-2016,14.00.00,14,10,1,2016,6
231,10-01-2016 15.00,1,15,20160110151,10-01-2016,15.00.00,15,10,1,2016,6
232,10-01-2016 16.00,1,19,20160110161,10-01-2016,16.00.00,16,10,1,2016,6
233,10-01-2016 17.00,1,20,20160110171,10-01-2016,17.00.00,17,10,1,2016,6
234,10-01-2016 18.00,1,18,20160110181,10-01-2016,18.00.00,18,10,1,2016,6
235,10-01-2016 19.00,1,22,20160110191,10-01-2016,19.00.00,19,10,1,2016,6
236,10-01-2016 20.00,1,22,20160110201,10-01-2016,20.00.00,20,10,1,2016,6
237,10-01-2016 21.00,1,23,20160110211,10-01-2016,21.00.00,21,10,1,2016,6
238,10-01-2016 22.00,1,25,20160110221,10-01-2016,22.00.00,22,10,1,2016,6
239,10-01-2016 23.00,1,21,20160110231,10-01-2016,23.00.00,23,10,1,2016,6
240,11-01-2016 0.00,1,21,20160111001,11-01-2016,0.00.00,0,11,1,2016,0
241,11-01-2016 1.00,1,16,20160111011,11-01-2016,1.00.00,1,11,1,2016,0
242,11-01-2016 2.00,1,11,20160111021,11-01-2016,2.00.00,2,11,1,2016,0
243,11-01-2016 3.00,1,11,20160111031,11-01-2016,3.00.00,3,11,1,2016,0
244,11-01-2016 4.00,1,12,20160111041,11-01-2016,4.00.00,4,11,1,2016,0
245,11-01-2016 5.00,1,13,20160111051,11-01-2016,5.00.00,5,11,1,2016,0
246,11-01-2016 6.00,1,12,20160111061,11-01-2016,6.00.00,6,11,1,2016,0
247,11-01-2016 7.00,1,14,20160111071,11-01-2016,7.00.00,7,11,1,2016,0
248,11-01-2016 8.00,1,13,20160111081,11-01-2016,8.00.00,8,11,1,2016,0
249,11-01-2016 9.00,1,28,20160111091,11-01-2016,9.00.00,9,11,1,2016,0
250,11-01-2016 10.00,1,38,20160111101,11-01-2016,10.00.00,10,11,1,2016,0
251,11-01-2016 11.00,1,40,20160111111,11-01-2016,11.00.00,11,11,1,2016,0
252,11-01-2016 12.00,1,38,20160111121,11-01-2016,12.00.00,12,11,1,2016,0
253,11-01-2016 13.00,1,32,20160111131,11-01-2016,13.00.00,13,11,1,2016,0
254,11-01-2016 14.00,1,35,20160111141,11-01-2016,14.00.00,14,11,1,2016,0
255,11-01-2016 15.00,1,35,20160111151,11-01-2016,15.00.00,15,11,1,2016,0
256,11-01-2016 16.00,1,30,20160111161,11-01-2016,16.00.00,16,11,1,2016,0
257,11-01-2016 17.00,1,33,20160111171,11-01-2016,17.00.00,17,11,1,2016,0
258,11-01-2016 18.00,1,32,20160111181,11-01-2016,18.00.00,18,11,1,2016,0
259,11-01-2016 19.00,1,32,20160111191,11-01-2016,19.00.00,19,11,1,2016,0
260,11-01-2016 20.00,1,31,20160111201,11-01-2016,20.00.00,20,11,1,2016,0
261,11-01-2016 21.00,1,34,20160111211,11-01-2016,21.00.00,21,11,1,2016,0
262,11-01-2016 22.00,1,33,20160111221,11-01-2016,22.00.00,22,11,1,2016,0
263,11-01-2016 23.00,1,25,20160111231,11-01-2016,23.00.00,23,11,1,2016,0
264,12-01-2016 0.00,1,26,20160112001,12-01-2016,0.00.00,0,12,1,2016,1
265,12-01-2016 1.00,1,22,20160112011,12-01-2016,1.00.00,1,12,1,2016,1
266,12-01-2016 2.00,1,25,20160112021,12-01-2016,2.00.00,2,12,1,2016,1
267,12-01-2016 3.00,1,17,20160112031,12-01-2016,3.00.00,3,12,1,2016,1
268,12-01-2016 4.00,1,14,20160112041,12-01-2016,4.00.00,4,12,1,2016,1
269,12-01-2016 5.00,1,11,20160112051,12-01-2016,5.00.00,5,12,1,2016,1
270,12-01-2016 6.00,1,13,20160112061,12-01-2016,6.00.00,6,12,1,2016,1
271,12-01-2016 7.00,1,16,20160112071,12-01-2016,7.00.00,7,12,1,2016,1
272,12-01-2016 8.00,1,21,20160112081,12-01-2016,8.00.00,8,12,1,2016,1
273,12-01-2016 9.00,1,23,20160112091,12-01-2016,9.00.00,9,12,1,2016,1
274,12-01-2016 10.00,1,31,20160112101,12-01-2016,10.00.00,10,12,1,2016,1
275,12-01-2016 11.00,1,32,20160112111,12-01-2016,11.00.00,11,12,1,2016,1
276,12-01-2016 12.00,1,34,20160112121,12-01-2016,12.00.00,12,12,1,2016,1
277,12-01-2016 13.00,1,30,20160112131,12-01-2016,13.00.00,13,12,1,2016,1
278,12-01-2016 14.00,1,32,20160112141,12-01-2016,14.00.00,14,12,1,2016,1
279,12-01-2016 15.00,1,30,20160112151,12-01-2016,15.00.00,15,12,1,2016,1
280,12-01-2016 16.00,1,28,20160112161,12-01-2016,16.00.00,16,12,1,2016,1
281,12-01-2016 17.00,1,32,20160112171,12-01-2016,17.00.00,17,12,1,2016,1
282,12-01-2016 18.00,1,28,20160112181,12-01-2016,18.00.00,18,12,1,2016,1
283,12-01-2016 19.00,1,29,20160112191,12-01-2016,19.00.00,19,12,1,2016,1
284,12-01-2016 20.00,1,35,20160112201,12-01-2016,20.00.00,20,12,1,2016,1
285,12-01-2016 21.00,1,34,20160112211,12-01-2016,21.00.00,21,12,1,2016,1
286,12-01-2016 22.00,1,29,20160112221,12-01-2016,22.00.00,22,12,1,2016,1
287,12-01-2016 23.00,1,30,20160112231,12-01-2016,23.00.00,23,12,1,2016,1
288,13-01-2016 0.00,1,26,20160113001,13-01-2016,0.00.00,0,13,1,2016,2
289,13-01-2016 1.00,1,21,20160113011,13-01-2016,1.00.00,1,13,1,2016,2
290,13-01-2016 2.00,1,20,20160113021,13-01-2016,2.00.00,2,13,1,2016,2
291,13-01-2016 3.00,1,16,20160113031,13-01-2016,3.00.00,3,13,1,2016,2
292,13-01-2016 4.00,1,11,20160113041,13-01-2016,4.00.00,4,13,1,2016,2
293,13-01-2016 5.00,1,14,20160113051,13-01-2016,5.00.00,5,13,1,2016,2
294,13-01-2016 6.00,1,11,20160113061,13-01-2016,6.00.00,6,13,1,2016,2
295,13-01-2016 7.00,1,16,20160113071,13-01-2016,7.00.00,7,13,1,2016,2
296,13-01-2016 8.00,1,18,20160113081,13-01-2016,8.00.00,8,13,1,2016,2
297,13-01-2016 9.00,1,33,20160113091,13-01-2016,9.00.00,9,13,1,2016,2
298,13-01-2016 10.00,1,42,20160113101,13-01-2016,10.00.00,10,13,1,2016,2
299,13-01-2016 11.00,1,40,20160113111,13-01-2016,11.00.00,11,13,1,2016,2
300,13-01-2016 12.00,1,39,20160113121,13-01-2016,12.00.00,12,13,1,2016,2
301,13-01-2016 13.00,1,31,20160113131,13-01-2016,13.00.00,13,13,1,2016,2
